,value,value_unc,qcflag
1999-12-22,1795.6175,1.4,...
1999-12-29,1812.5725,1.4,...
2000-01-07,1800.4775,1.4,...
2000-01-14,1790.37,1.4,...
2000-01-21,1818.075,1.4,...
2000-01-28,1814.2725,1.4,...
2000-02-04,1785.445,1.4,...
2000-02-11,1796.6525000000001,1.4,...
2000-02-18,1783.265,1.4,...
2000-02-25,1793.1225,1.4,...
2000-03-03,1802.7575,1.4,...
2000-03-10,1768.6875,1.4,...
2000-03-17,1803.8975,1.4,...
2000-03-24,1788.2875,1.4,...
2000-03-31,1793.2375,1.4,...
2000-04-07,1790.79,1.3999999999999997,...
2000-04-14,1800.535,1.4,...
2000-04-21,1788.205,1.4,...
2000-04-28,1784.915,1.4,...
2000-05-05,1766.4875,1.4,...
2000-05-12,1774.41,1.4,...
2000-05-19,1765.3325,1.4,...
2000-05-26,1765.44,1.4,...
2000-06-02,1773.7425,1.4,...
2000-06-09,1785.7150000000001,1.4,...
2000-06-16,1763.27,1.4,...
2000-06-23,1785.1174999999998,1.4,...
2000-06-30,1773.0825,1.4,...
2000-07-07,1769.3575,1.4,...
2000-07-14,1765.3225,1.4,...
2000-07-21,1763.0675,1.4,...
2000-07-28,1766.27,1.4,...
2000-08-04,1767.435,1.4,...
2000-08-11,1770.2725,1.4,...
2000-08-18,1764.885,1.4,...
2000-08-25,1761.675,1.4,...
2000-09-01,1758.4299999999998,1.4,...
2000-09-08,1763.325,1.4,...
2000-09-15,1770.2675,1.4,...
2000-09-22,1777.15,1.4,...
2000-09-29,1785.5349999999999,1.4,...
2000-10-06,1799.6266666666668,1.3999999999999997,...
2000-10-13,1794.155,1.4,...
2000-10-27,1804.1975,1.4,...
2000-11-17,1801.5149999999999,1.4,...
2000-11-24,1787.815,1.4,...
2000-12-01,1791.47,1.4,...
2000-12-15,1794.5525,1.4,...
2000-12-22,1786.9724999999999,1.4,...
2000-12-29,1786.8575,1.4,...
2001-01-05,1790.0075,1.4,...
2001-01-12,1785.1625,1.4,...
2001-01-19,1792.8966666666668,1.3999999999999997,...
2001-01-26,1803.3925,1.4,...
2001-02-02,1785.8675,1.4,...
2001-02-09,1767.18,1.4,...
2001-02-16,1812.6775,1.4,...
2001-02-23,1791.005,1.4,...
2001-02-28,1795.05,1.4,...
2001-03-07,1803.7775,1.4,...
2001-03-14,1810.3725,1.4,...
2001-03-21,1814.2825,1.4,...
2001-03-28,1780.0233333333333,1.3999999999999997,...
2001-04-04,1780.365,1.4,...
2001-04-11,1826.3775,1.4,...
2001-04-18,1800.2675,1.4,...
2001-04-25,1782.6233333333332,1.3999999999999997,...
2001-05-02,1801.3125,1.4,...
2001-05-09,1789.4025,1.4,...
2001-05-16,1762.2925,1.4,...
2001-05-23,1784.66,1.4,...
2001-05-30,1781.0149999999999,1.4,...
2001-06-06,1779.7475,1.4,...
2001-06-13,1766.0025,1.4,...
2001-06-20,1780.97,1.4,...
2001-06-27,1757.6375,1.4,...
2001-07-03,1758.6425,1.4,...
2001-07-11,1776.1075,1.4,...
2001-07-18,1783.925,1.4,...
2001-07-25,1769.565,1.4,...
2001-08-01,1767.0925,1.4,...
2001-08-08,1761.385,1.4,...
2001-08-15,1762.435,1.4,...
2001-08-22,1761.8675,1.4,...
2001-08-29,1763.07,1.4,...
2001-09-05,1760.615,1.4,...
2001-09-12,1759.115,1.4,...
2001-09-19,1789.7224999999999,1.4,...
2001-09-26,1821.375,1.4,...
2001-10-03,1777.94,1.4,...
2001-10-10,1804.5433333333333,1.3999999999999997,...
2001-10-17,1782.955,1.4,...
2001-10-24,1760.885,1.4,...
2001-10-31,1804.735,1.4,...
2001-11-07,1785.1775,1.4,...
2001-11-14,1805.995,1.4,...
2001-11-28,1778.1975,1.4,...
2001-12-05,1801.8125,1.4,...
2001-12-12,1821.2775000000001,1.4,...
2001-12-19,1785.7150000000001,1.4,...
2001-12-26,1791.585,1.4,...
2002-01-02,1784.7275,1.4,...
2002-01-09,1786.915,1.4,...
2002-01-16,1798.385,1.4,...
2002-01-23,1781.8075000000001,1.4,...
2002-01-30,1780.12,1.4,...
2002-02-06,1777.37,1.4,...
2002-02-13,1787.9775,1.4,...
2002-02-20,1779.4925,1.4,...
2002-03-01,1786.6,1.4,...
2002-03-06,1781.0349999999999,1.4,...
2002-03-13,1791.6275,1.4,...
2002-03-20,1805.0625,1.4,...
2002-03-27,1790.1475,1.4,...
2002-04-03,1764.5075000000002,1.4,...
2002-04-10,1765.9825,1.4,...
2002-04-17,1782.1875,1.4,...
2002-04-24,1796.715,1.4,...
2002-05-01,1798.6625,1.4,...
2002-05-08,1759.385,1.4,...
2002-05-15,1763.1675,1.4,...
2002-05-22,1782.5375,1.4,...
2002-05-29,1782.51,1.4,...
2002-06-05,1790.2350000000001,1.4,...
2002-06-12,1782.26,1.4,...
2002-06-19,1764.4724999999999,1.4,...
2002-06-26,1771.0175,1.4,...
2002-07-05,1772.8025,1.4,...
2002-07-10,1765.6225,1.4,...
2002-07-17,1762.6025,1.4,...
2002-07-24,1771.1675,1.4,...
2002-07-31,1757.53,1.4,...
2002-08-07,1778.0175,1.4,...
2002-08-14,1759.615,1.4,...
2002-08-21,1760.875,1.4,...
2002-08-28,1768.945,1.4,...
2002-09-04,1779.5825,1.4,...
2002-09-18,1781.545,1.4,...
2002-09-25,1786.1399999999999,1.4,...
2002-10-02,1791.99,1.4,...
2002-10-09,1802.875,1.4,...
2002-10-16,1764.8375,1.4,...
2002-10-23,1814.735,1.4,...
2002-10-30,1822.4075,1.4,...
2002-11-06,1801.5575,1.4,...
2002-11-13,1779.63,1.4,...
2002-11-20,1805.1975,1.4,...
2002-11-27,1796.9075,1.4,...
2002-12-04,1799.355,1.4,...
2002-12-11,1811.995,1.4,...
2002-12-18,1789.17,1.4,...
2002-12-26,1785.1325,1.4,...
2003-01-08,1778.45,1.4,...
2003-01-15,1777.6075,1.4,...
2003-01-22,1803.55,1.4,...
2003-01-29,1787.4575,1.4,...
2003-02-05,1781.235,1.4,...
2003-02-12,1779.145,1.4,...
2003-02-19,1812.1325,1.4,...
2003-02-26,1794.73,1.4,...
2003-03-05,1793.7849999999999,1.4,...
2003-03-12,1800.4825,1.4,...
2003-03-19,1796.81,1.4,...
2003-03-26,1793.14,1.4,...
2003-04-02,1792.2075,1.4,...
2003-04-09,1786.0475000000001,1.4,...
2003-04-16,1801.6925,1.4,...
2003-04-23,1802.5325,1.87,...
2003-04-29,1791.205,1.87,...
2003-05-07,1794.1675,1.87,...
2003-05-14,1765.8899999999999,1.87,...
2003-05-21,1802.1100000000001,1.87,...
2003-05-28,1778.0175,1.87,...
2003-05-30,1776.255,1.87,...
2003-06-04,1778.69,1.87,...
2003-06-06,1800.94,1.87,...
2003-06-11,1796.4,1.87,...
2003-06-13,1793.2649999999999,1.87,...
2003-06-17,1764.85,1.87,...
2003-06-20,1764.57,1.87,...
2003-06-25,1799.125,1.87,...
2003-06-27,1784.455,1.87,...
2003-07-02,1804.3625,1.87,...
2003-07-09,1821.5075,1.87,...
2003-07-16,1775.8966666666668,1.87,...
2003-07-30,1771.775,1.87,...
2003-08-06,1764.77,1.87,...
2003-08-13,1762.77,1.87,...
2003-08-20,1762.165,1.87,...
2003-08-27,1771.4725,1.87,...
2003-09-03,1801.125,1.87,...
2003-09-10,1795.8725,1.87,...
2003-09-17,1804.755,1.87,...
2003-09-24,1778.9975,1.87,...
2003-10-01,1773.21,1.87,...
2003-10-08,1810.825,1.87,...
2003-10-15,1833.63,1.87,...
2003-10-22,1791.6075,1.87,...
2003-10-29,1789.345,1.87,...
2003-11-05,1820.995,1.87,...
2003-11-12,1823.2775,1.87,...
2003-11-19,1829.595,1.87,...
2003-11-26,1793.05,1.87,...
2003-12-03,1777.3825,1.87,...
2003-12-10,1806.57,1.87,...
2003-12-17,1798.4850000000001,1.87,...
2003-12-24,1798.0,1.87,...
2003-12-31,1779.585,1.87,...
2004-01-07,1786.135,1.87,...
2004-01-14,1781.6875,1.87,...
2004-01-21,1788.0925,1.87,...
2004-01-28,1794.1175,1.87,...
2004-02-04,1795.3975,1.87,...
2004-02-11,1831.695,1.87,...
2004-02-18,1789.2175,1.87,...
2004-02-25,1778.165,1.87,...
2004-03-03,1785.5375,1.87,...
2004-03-10,1825.8775,1.87,...
2004-03-17,1820.665,1.87,...
2004-03-24,1784.7725,1.87,...
2004-03-31,1822.5275000000001,1.87,...
2004-04-07,1804.2575,1.87,...
2004-04-14,1805.3625,1.87,...
2004-04-21,1822.04,1.87,...
2004-04-28,1794.915,1.87,...
2004-05-05,1797.905,1.87,...
2004-05-12,1778.0725,1.87,...
2004-05-19,1767.2224999999999,1.87,...
2004-05-26,1808.33,1.87,...
2004-06-02,1780.5575,1.87,...
2004-06-09,1776.1325,1.87,...
2004-06-16,1786.6,1.87,...
2004-06-23,1767.745,1.87,...
2004-06-30,1762.06,1.87,...
2004-07-07,1779.4025,1.87,...
2004-07-14,1806.02,1.87,...
2004-07-21,1775.8125,1.87,...
2004-07-28,1766.4925,1.87,...
2004-08-04,1755.8525,1.87,...
2004-08-11,1770.6075,1.87,...
2004-08-18,1760.3533333333335,1.87,...
2004-08-25,1778.0125,1.87,...
2004-09-01,1786.4499999999998,1.87,...
2004-09-08,1777.1425,1.87,...
2004-09-15,1765.465,1.87,...
2004-09-22,1786.6174999999998,1.87,...
2004-09-29,1773.5125,1.87,...
2004-10-06,1816.9225,1.87,...
2004-10-13,1776.7350000000001,1.87,...
2004-10-20,1793.3875,1.87,...
2004-10-27,1784.0349999999999,1.87,...
2004-11-02,1778.62,1.87,...
2004-11-10,1812.5675,1.87,...
2004-11-17,1812.5775,1.87,...
2004-11-24,1798.17,1.87,...
2004-12-01,1809.9099999999999,1.87,...
2004-12-08,1797.635,1.87,...
2004-12-15,1791.1725000000001,1.87,...
2004-12-22,1795.515,1.87,...
2004-12-29,1784.035,1.87,...
2005-01-05,1790.8425,1.87,...
2005-01-12,1803.175,1.87,...
2005-01-19,1774.6875,1.87,...
2005-01-26,1786.3025,1.87,...
2005-02-02,1792.02,1.87,...
2005-02-09,1781.5375,1.87,...
2005-02-16,1808.19,1.87,...
2005-02-23,1805.8400000000001,1.87,...
2005-03-02,1819.2275,1.87,...
2005-03-09,1776.615,1.87,...
2005-03-16,1822.4,1.87,...
2005-03-23,1780.7075,1.87,...
2005-03-30,1812.2649999999999,1.87,...
2005-04-06,1799.4975,1.87,...
2005-04-13,1785.68,1.87,...
2005-04-19,1796.73,1.87,...
2005-04-27,1787.475,1.87,...
2005-05-04,1771.2425,1.87,...
2005-05-11,1777.1125000000002,1.87,...
2005-05-18,1770.68,1.87,...
2005-05-25,1790.76,1.87,...
2005-06-01,1794.5600000000002,1.87,...
2005-06-08,1771.6075,1.87,...
2005-06-15,1765.375,1.87,...
2005-06-22,1803.145,1.87,...
2005-06-29,1771.0075,1.87,...
2005-07-06,1771.2725,1.87,...
2005-07-13,1761.6025,1.87,...
2005-07-20,1773.4175,1.87,...
2005-07-26,1774.4275,1.87,...
2005-08-03,1764.4524999999999,1.87,...
2005-08-10,1765.0625,2.05,...
2005-08-16,1761.255,2.05,...
2005-08-24,1778.57,2.05,...
2005-08-31,1771.8075,2.05,...
2005-09-07,1767.52,2.05,...
2005-09-14,1780.93,2.05,...
2005-09-21,1796.4075,2.05,...
2005-09-28,1805.2625,2.05,...
2005-10-05,1803.1175,2.05,...
2005-10-12,1809.48,2.05,...
2005-10-19,1803.6875,2.05,...
2005-10-26,1804.5475000000001,2.05,...
2005-11-02,1797.31,2.05,...
2005-11-09,1811.9975,2.05,...
2005-11-16,1814.3175,2.05,...
2005-11-23,1792.0625,2.05,...
2005-11-30,1777.8274999999999,2.05,...
2005-12-07,1814.8274999999999,2.05,...
2005-12-14,1802.0775,2.05,...
2005-12-21,1791.01,2.05,...
2005-12-28,1799.0125,2.05,...
2006-01-04,1799.5900000000001,2.05,...
2006-01-11,1795.3225,2.05,...
2006-01-18,1799.4975,2.05,...
2006-01-25,1779.835,2.05,...
2006-02-01,1784.8575,2.05,...
2006-02-08,1793.4099999999999,2.05,...
2006-02-15,1802.0549999999998,2.05,...
2006-02-22,1778.8925,2.05,...
2006-03-01,1764.7166666666665,2.05,...
2006-03-08,1793.4275,2.05,...
2006-03-15,1788.0375,2.05,...
2006-03-22,1777.7325,2.05,...
2006-03-29,1771.4775,2.05,...
2006-04-05,1799.145,2.05,...
2006-04-12,1811.8925,2.05,...
2006-04-19,1803.875,2.05,...
2006-04-26,1797.5125,2.05,...
2006-05-03,1814.1825,2.05,...
2006-05-10,1803.885,2.05,...
2006-05-17,1787.1275,2.05,...
2006-05-24,1798.575,2.05,...
2006-05-31,1784.8175,2.05,...
2006-06-07,1775.3425,2.05,...
2006-06-14,1790.9099999999999,2.05,...
2006-06-21,1774.06,2.05,...
2006-06-29,1762.81,2.05,...
